Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Energy Consumption,CO2 Emissions,Renewable Energy Jobs,Renewable Energy Targets,Electricity Prices,Proportion of Energy from Renewables
Australia,2000,Biomass,43636.88,19296.87,6554377220.55,358831.38,957141.06,393848,0,0.2,50.87
Australia,2000,Geothermal,55704.73,29067.84,2517783499.59,947418.44,437142.43,213998,0,0.09,5.41
Australia,2000,Geothermal,34127.02,20430.13,8095328506.95,343075.14,387836.94,728301,1,0.24,52.41
Australia,2000,Geothermal,56719.64,6854.81,9874372882.42,408956.04,870582.76,562615,1,0.26,96.57
Australia,2000,Hydro,92721.86,26342.65,6926365389.73,149481.98,13354.85,697049,1,0.06,95.56
Australia,2000,Hydro,19480.72,14951.56,8927253139.91,110024.71,805237.22,594834,1,0.43,38.94
Australia,2000,Hydro,45880.71,39832.49,8545379706.16,23429.77,542926.95,168781,0,0.17,56.18
Australia,2000,Solar,64257.75,7523.08,5319923925.38,350032.7,364187.67,775624,0,0.25,37.58
Australia,2000,Wind,65564.31,15351.44,4138285781.25,674245.84,411508.01,465073,0,0.12,54.66
Australia,2000,Wind,28510.6,32568.03,405377310.85,729846.12,849540.44,738147,1,0.4,46.12
Australia,2001,Biomass,97065.02,32766.21,5294719310.61,879532.75,684165.62,885436,1,0.09,76.68
Australia,2001,Biomass,32851.8,18941.41,3611636118.99,764824.51,301038.01,867533,0,0.28,13.47
Australia,2001,Biomass,83987.5,12248.38,8456524049.51,46425.11,296460.88,411465,0,0.38,33.02
Australia,2001,Hydro,44314.46,34848.19,2971230108.08,860316.73,602631.58,371629,1,0.39,95.19
Australia,2001,Hydro,45228.26,37404.83,4972536631.9,883614.12,926316.26,981100,1,0.48,33.98
Australia,2001,Hydro,86644.63,35982.04,9217238165.09,955702.4,866092.87,743607,0,0.13,80.33
Australia,2001,Hydro,26667.14,1678.33,9163542988.4,669265.16,111554.47,398217,1,0.35,45.55
Australia,2001,Hydro,16808.72,26940.36,6993261222.62,753752.59,247172.81,825788,0,0.28,41.65
Australia,2001,Solar,46472.76,18686.58,9633933560.8,106316.42,765203.77,976260,0,0.28,85.48
Australia,2001,Solar,37882.71,29915.06,3175216832.26,399182.96,790665.04,275382,0,0.44,63.1
Australia,2001,Solar,92780.04,27439.94,2811582489.19,710755.56,480521.63,272022,0,0.11,1.72
Australia,2001,Wind,35556.23,7081.48,3167697334.07,722170.19,513169.57,107598,1,0.26,20.24
Australia,2001,Wind,84579.9,5998.04,4501265118.64,290684.39,698406.97,353268,0,0.28,64.75
Australia,2002,Biomass,38314.89,34763.39,3158583110.11,420872.69,873681.13,365174,1,0.1,81.98
Australia,2002,Geothermal,94113.04,9520.76,4950263478.66,454928.59,14967.56,77740,0,0.22,6.08
Australia,2002,Geothermal,24342.17,4915.95,5340339581.35,139560.4,153227.42,431968,1,0.12,55.03
Australia,2002,Geothermal,94378.83,48220.74,2464056171.25,623280.41,840135.81,382304,0,0.32,33.79
Australia,2002,Hydro,66032.44,31817.91,3813039172.36,69497.91,483768.58,699606,0,0.29,32.4
Australia,2002,Hydro,19864.02,18710.21,4790213384.42,102494.76,223916.5,772425,0,0.26,34.52
Australia,2002,Hydro,58377.84,45309.25,6319616298.12,876506.57,888215.82,539338,0,0.47,82.78
Australia,2002,Hydro,64211.45,29899.01,970816346.8,873235.02,38418.79,402417,1,0.11,43.05
Australia,2002,Hydro,4847.66,21926.95,3131715113.88,755189.68,851728.54,675626,0,0.43,66.77
Australia,2002,Solar,67484.51,32816.52,8145434514.1,408444.99,357599.09,144097,0,0.24,92.4
Australia,2002,Solar,22026.0,42339.08,7344065461.86,246910.32,802476.8,863105,0,0.15,67.46
Australia,2002,Solar,27478.58,18235.16,7026598396.34,467755.33,559275.72,242817,1,0.06,5.35
Australia,2002,Solar,29658.98,20175.91,6899772821.24,671806.29,683538.55,750001,0,0.09,93.84
Australia,2003,Biomass,65260.57,48971.77,2364936805.98,948333.88,294815.74,239101,1,0.18,76.36
Australia,2003,Biomass,94087.92,39419.29,1885040361.0,104868.38,130822.59,767227,1,0.19,21.33
Australia,2003,Biomass,77408.7,33998.35,508485057.56,274168.14,934187.93,543604,0,0.3,4.76
Australia,2003,Biomass,11977.33,8778.47,659340145.82,919180.6,958881.94,327165,1,0.49,46.15
Australia,2003,Geothermal,58251.6,31181.72,2850111385.11,452270.05,36736.1,568155,0,0.18,3.38
Australia,2003,Hydro,60951.16,37042.08,9386500422.77,716250.73,116202.52,369546,1,0.19,97.13
Australia,2003,Solar,29215.15,34812.75,1340178146.74,291940.84,758916.33,516092,1,0.25,63.03
Australia,2003,Wind,99506.49,2961.81,7121396027.48,891022.44,448199.33,341759,1,0.49,86.33
Australia,2003,Wind,51379.28,38762.46,4161960357.38,512137.77,625692.56,112289,0,0.31,13.96
Australia,2004,Biomass,14325.35,38289.19,8716510274.46,673921.35,593383.57,984025,0,0.17,27.08
Australia,2004,Biomass,1588.09,7227.27,4512642941.01,439754.95,95547.28,358419,0,0.33,21.39
Australia,2004,Biomass,22583.52,4196.54,4771648214.93,790022.24,105539.31,257074,1,0.31,64.45
Australia,2004,Biomass,31403.65,37271.15,748475597.75,46200.77,854861.47,526383,1,0.43,47.94
Australia,2004,Geothermal,60887.52,9321.26,8882535248.65,537620.55,832590.99,754042,0,0.14,31.66
Australia,2004,Geothermal,44919.3,7846.77,1621523197.89,543438.86,663600.35,542873,0,0.06,52.35
Australia,2004,Geothermal,85082.23,24844.41,3262353357.38,715721.86,863236.4,576981,1,0.16,12.03
Australia,2004,Geothermal,16853.92,29513.48,445211380.04,848066.21,133168.12,179230,1,0.13,91.48
Australia,2004,Hydro,23917.3,19790.1,346565924.85,256653.62,323469.94,97001,1,0.13,47.93
Australia,2004,Hydro,16296.29,18780.35,8167146695.82,517558.25,299117.99,32699,1,0.05,61.79
Australia,2004,Wind,61537.82,16535.24,6693958809.52,899356.23,123374.8,49809,1,0.39,68.9
Australia,2005,Biomass,26459.16,44580.59,1303429736.94,528689.12,27898.53,583708,1,0.26,11.64
Australia,2005,Biomass,19940.86,34104.23,6494242672.13,614579.49,414335.12,379077,1,0.17,30.32
Australia,2005,Biomass,81527.83,17485.6,1029600540.25,30913.44,202571.71,483564,1,0.15,41.77
Australia,2005,Biomass,49729.49,13332.57,6535538011.58,938857.39,415101.91,986052,0,0.45,94.41
Australia,2005,Geothermal,25262.74,35627.95,1050465846.51,143117.05,997991.78,437767,1,0.09,48.81
Australia,2005,Hydro,73151.08,5083.83,2576953759.13,714957.76,897593.14,823959,1,0.14,81.79
Australia,2005,Hydro,50575.88,3949.32,7221398394.04,2820.56,498046.12,596447,1,0.47,4.33
Australia,2005,Hydro,50893.58,40247.83,8862358962.84,563279.15,421968.92,436563,0,0.42,70.79
Australia,2005,Wind,29670.9,15484.86,1307394043.56,531789.01,845242.41,907533,1,0.24,84.37
Australia,2006,Biomass,90149.41,7759.77,5603858410.64,960011.53,468837.98,711468,0,0.06,56.43
Australia,2006,Geothermal,37892.93,36216.12,6441563353.29,731410.01,86460.22,802834,0,0.06,60.65
Australia,2006,Hydro,6177.7,415.39,4601006767.54,697190.35,224448.91,731293,0,0.45,72.09
Australia,2006,Hydro,53146.35,47654.14,4766772614.51,94883.06,145621.97,440737,1,0.19,50.41
Australia,2006,Solar,95372.52,38589.72,9568547682.02,12543.73,625698.66,238777,0,0.28,10.99
Australia,2006,Solar,75874.19,23122.05,1898463816.72,24406.89,684154.23,450046,0,0.24,9.46
Australia,2006,Wind,61007.9,35500.28,6321123876.67,684673.35,865798.3,965154,1,0.35,11.63
Australia,2006,Wind,8664.08,40044.51,473388339.98,7780.4,657773.26,211551,1,0.09,65.42
Australia,2007,Biomass,30522.44,9057.73,7461167473.99,932834.61,396534.48,713616,1,0.27,66.52
Australia,2007,Geothermal,53801.69,6784.63,7017346211.31,275702.41,586081.39,849692,0,0.42,19.24
Australia,2007,Geothermal,43580.47,38438.64,2809893211.92,797368.09,899308.93,662482,1,0.47,73.05
Australia,2007,Hydro,59493.18,13513.12,232934345.98,726757.47,705960.13,387819,1,0.06,10.38
Australia,2007,Solar,5411.84,49435.02,3678951441.67,775048.56,526581.3,143548,1,0.14,13.32
Australia,2007,Solar,38018.3,22447.15,6615517589.65,475425.57,60055.98,28415,0,0.37,75.72
Australia,2007,Solar,59329.33,6111.75,7858042959.89,775201.72,405569.14,204967,1,0.23,35.71
Australia,2007,Wind,82303.46,13671.9,2952536191.73,855082.69,50656.03,255363,1,0.1,68.81
Australia,2007,Wind,68253.57,25407.46,4106642167.61,973920.33,880724.65,809616,0,0.06,20.07
Australia,2007,Wind,90743.91,30358.74,9432044962.67,591662.47,642948.92,285969,1,0.46,88.52
Australia,2008,Biomass,74876.07,12543.45,3455866136.66,71588.21,386514.07,914253,0,0.43,87.0
Australia,2008,Biomass,12028.1,25614.87,3062369474.82,374359.32,776722.19,528077,1,0.35,20.47
Australia,2008,Biomass,86807.63,22419.58,9983412968.36,435874.21,364518.54,555945,0,0.06,79.0
Australia,2008,Geothermal,22205.07,43211.59,636188589.24,771781.64,826531.68,945074,1,0.33,95.0
Australia,2008,Geothermal,86965.28,25312.4,5324035676.8,511380.35,212363.8,974171,0,0.42,55.46
Australia,2008,Solar,25603.03,22468.71,9921407899.19,131263.96,916608.36,277073,0,0.49,76.77
Australia,2008,Wind,69640.14,24074.54,3394575034.73,976647.8,761562.36,753432,0,0.16,17.57
Australia,2008,Wind,32167.99,13077.79,9685416618.83,978691.32,565572.21,191089,0,0.3,58.26
Australia,2008,Wind,6594.36,35714.75,6280953115.68,387856.08,460487.96,968853,0,0.31,95.09
Australia,2009,Biomass,3832.76,26131.87,4499298659.45,363620.14,193308.23,155438,1,0.38,81.86
Australia,2009,Biomass,66008.07,13134.45,336495897.19,208800.19,142773.04,403964,1,0.44,6.62
Australia,2009,Geothermal,49594.25,26117.13,1106594120.13,287788.57,134180.37,885484,1,0.34,15.38
Australia,2009,Geothermal,59459.82,43504.78,7616736226.93,828948.52,654785.63,588695,1,0.43,70.33
Australia,2009,Geothermal,53915.19,825.55,5047067938.18,436819.78,957720.35,761528,0,0.25,97.16
Australia,2009,Geothermal,33395.66,32887.96,9902785572.34,165641.46,712144.04,309634,0,0.18,90.81
Australia,2009,Hydro,84381.1,47331.47,7626697712.26,917209.75,730418.9,4853,0,0.26,39.93
Australia,2009,Hydro,45110.18,36134.28,7259697136.57,505450.62,341204.02,529123,0,0.11,51.48
Australia,2009,Solar,40218.01,42993.53,338009756.2,267479.71,695121.13,526963,0,0.27,92.97
